"","Source","Phone","Category","Pages","Data"
"1","Simson","Dell XCD28","Erased",5062,"Pre-Owned"
"2","Simson","Dell XCD28","Expired data",68408,"Pre-Owned"
"3","Simson","Dell XCD28","Expired header",44052,"Pre-Owned"
"4","Simson","Dell XCD28","Recent data",21486,"Pre-Owned"
"5","Simson","Dell XCD28","Recent header",12480,"Pre-Owned"
"6","Simson","Dell XCD35","Erased",5219,"Pre-Owned"
"7","Simson","Dell XCD35","Expired data",17990,"Pre-Owned"
"8","Simson","Dell XCD35","Expired header",30570,"Pre-Owned"
"9","Simson","Dell XCD35","Recent data",24561,"Pre-Owned"
"10","Simson","Dell XCD35","Recent header",4860,"Pre-Owned"
"11","Simson","HTC Legend","Erased",843,"Pre-Owned"
"12","Simson","HTC Legend","Expired data",32033,"Pre-Owned"
"13","Simson","HTC Legend","Expired header",41948,"Pre-Owned"
"14","Simson","HTC Legend","Recent data",13844,"Pre-Owned"
"15","Simson","HTC Legend","Recent header",6116,"Pre-Owned"
"16","Simson","HTC Wildfire","Erased",902,"Pre-Owned"
"17","Simson","HTC Wildfire","Expired data",4552,"Pre-Owned"
"18","Simson","HTC Wildfire","Expired header",15502,"Pre-Owned"
"19","Simson","HTC Wildfire","Recent data",64623,"Pre-Owned"
"20","Simson","HTC Wildfire","Recent header",4085,"Pre-Owned"
"21","Simson","Huawei 8500","Erased",809,"Pre-Owned"
"22","Simson","Huawei 8500","Expired data",23553,"Pre-Owned"
"23","Simson","Huawei 8500","Expired header",46979,"Pre-Owned"
"24","Simson","Huawei 8500","Recent data",6882,"Pre-Owned"
"25","Simson","Huawei 8500","Recent header",7089,"Pre-Owned"
"26","Simson","Huawei Ideos","Erased",3509,"Pre-Owned"
"27","Simson","Huawei Ideos","Expired data",28930,"Pre-Owned"
"28","Simson","Huawei Ideos","Expired header",46048,"Pre-Owned"
"29","Simson","Huawei Ideos","Recent data",10236,"Pre-Owned"
"30","Simson","Huawei Ideos","Recent header",6829,"Pre-Owned"
"31","Simson","Sony Xperia x10","Erased",105048,"Pre-Owned"
"32","Simson","Sony Xperia x10","Expired data",35260,"Pre-Owned"
"33","Simson","Sony Xperia x10","Expired header",52116,"Pre-Owned"
"34","Simson","Sony Xperia x10","Recent data",38537,"Pre-Owned"
"35","Simson","Sony Xperia x10","Recent header",7119,"Pre-Owned"
"36","Via","Droid Eris","Erased",10463,"Unused"
"37","Via","Droid Eris","Expired data",25317,"Unused"
"38","Via","Droid Eris","Expired header",24190,"Unused"
"39","Via","Droid Eris","Recent data",16083,"Unused"
"40","Via","Droid Eris","Recent header",5611,"Unused"
"41","Via","HTC Aria","Erased",16197,"Unused"
"42","Via","HTC Aria","Expired data",27265,"Unused"
"43","Via","HTC Aria","Expired header",25589,"Unused"
"44","Via","HTC Aria","Recent data",19965,"Unused"
"45","Via","HTC Aria","Recent header",5768,"Unused"
"46","Via","HTC G1","Erased",9385,"Unused"
"47","Via","HTC G1","Expired data",11925,"Unused"
"48","Via","HTC G1","Expired header",8060,"Unused"
"49","Via","HTC G1","Recent data",6003,"Unused"
"50","Via","HTC G1","Recent header",2899,"Unused"
"51","Via","HTC Hero","Erased",11331,"Unused"
"52","Via","HTC Hero","Expired data",25212,"Unused"
"53","Via","HTC Hero","Expired header",20855,"Unused"
"54","Via","HTC Hero","Recent data",19468,"Unused"
"55","Via","HTC Hero","Recent header",4798,"Unused"
"56","Via","HTC MyTouch 3g","Erased",87727,"Unused"
"57","Via","HTC MyTouch 3g","Expired data",19770,"Unused"
"58","Via","HTC MyTouch 3g","Expired header",22679,"Unused"
"59","Via","HTC MyTouch 3g","Recent data",17437,"Unused"
"60","Via","HTC MyTouch 3g","Recent header",3811,"Unused"
"61","Via","LG Optimus S","Erased",25520,"Unused"
"62","Via","LG Optimus S","Expired data",17177,"Unused"
"63","Via","LG Optimus S","Expired header",17393,"Unused"
"64","Via","LG Optimus S","Recent data",21288,"Unused"
"65","Via","LG Optimus S","Recent header",3038,"Unused"
"66","Via","Motorola Droid","Erased",84907,"Unused"
"67","Via","Motorola Droid","Expired data",13363,"Unused"
"68","Via","Motorola Droid","Expired header",21327,"Unused"
"69","Via","Motorola Droid","Recent data",11235,"Unused"
"70","Via","Motorola Droid","Recent header",3184,"Unused"
"71","Via","Nexus One","Erased",49089,"Unused"
"72","Via","Nexus One","Expired data",17048,"Unused"
"73","Via","Nexus One","Expired header",21308,"Unused"
"74","Via","Nexus One","Recent data",9260,"Unused"
"75","Via","Nexus One","Recent header",3775,"Unused"
"76","Via","Sony Xperia x10","Erased",135996,"Unused"
"77","Via","Sony Xperia x10","Expired data",24667,"Unused"
"78","Via","Sony Xperia x10","Expired header",26364,"Unused"
"79","Via","Sony Xperia x10","Recent data",46565,"Unused"
"80","Via","Sony Xperia x10","Recent header",4488,"Unused"
"81","Vidas","HTC Evo 4g","Erased",929,"Pre-Owned"
"82","Vidas","HTC Evo 4g","Expired data",78925,"Pre-Owned"
"83","Vidas","HTC Evo 4g","Expired header",36315,"Pre-Owned"
"84","Vidas","HTC Evo 4g","Recent data",94558,"Pre-Owned"
"85","Vidas","HTC Evo 4g","Recent header",8217,"Pre-Owned"
